Test1(%),Test2(%)
67.5,73.5
71.5,72.5
53,39
95,99.5
64,69.5
75.5,83.5
53,37
98.5,97.5
74,77
86,80.5
89,92.5
75.375,93
60,40
80,94
87,94.5
64,65.5
40,71
89,86.5
80,86
93,87.5
44,45.5
65,64
81,91
96,93
48.5,63
94,96
98.5,96
82.5,60.75
98,99
99.5,98
74,81
92.5,75
98,90
94.5,95
95,97
80,88
90,78
74.5,68
96.5,94.5
91.5,92.5
55.5,72.5
84.5,96.5
79,74
97,92
60.5,69
63,90.5
81,72.5
52,89
92,83
91,92.5
78.5,93.5
78,42.5
62,70
99,93
70.5,76.5
96,42.5
80.5,68
49,63
71,64
72,86.5
91.5,89
77,70
80.5,71
96,94
97.5,99.5
91.5,79.5
74,70
51.5,67
63,60.5
35,35.5
75,77.5
79,78.5
66.5,50.5
74,74.5
84,84
42,18.5
92.5,81
93,93
79.5,79.5
94.5,85.5
86,86.5
74.5,93.5
74.5,89
79.625,93.5
98,100
100,99
89.5,60.5
80.5,85
